"TSS Code","Source Site","Study Name","BCR"
"fd193afa-d802-4084-98c3-4e357c1189a8","AR","Mayo","Breast invasive carcinoma","NCH"
"6679d98e-a5c7-4d7b-a6ce-0b0279e5623c","AS","St. Joseph's Medical Center-(MD)","Kidney renal clear cell carcinoma","IGC"
"2d751446-df2d-4a37-bfcc-6bd4d9e149f1","AT","St. Joseph's Medical Center-(MD)","Kidney renal papillary cell carcinoma","IGC"
"211689be-b328-42bd-a41f-96f498604f76","AU","St. Joseph's Medical Center-(MD)","Colon adenocarcinoma","IGC"
"71dfb5a1-afbe-4c6c-8381-d80a0a51cd0c","AV","NCH","Cell Line Control","NCH"
"49d33bc1-2392-47c6-ab3d-fca0750e0cc3","AW","Cureline","Uterine Corpus Endometrial Carcinoma","NCH"
"b04607f3-30b0-4a8e-81c5-13e2329a1924","AX","Gynecologic Oncology Group","Uterine Corpus Endometrial Carcinoma","NCH"
"daa59bac-ee06-4831-8073-3dda0b79150e","AY","UNC","Colon adenocarcinoma","IGC"
"7aeec13e-796b-421b-9741-9b1db83cb6ee","AZ","University of Pittsburgh","Colon adenocarcinoma","IGC"
"aa4a5139-ae28-43c9-9565-7bd7c062ec10","B0","University of Pittsburgh","Kidney renal clear cell carcinoma","IGC"
"fc5d2333-e138-4a18-baba-87909b1ba72a","B1","University of Pittsburgh","Kidney renal papillary cell carcinoma","IGC"
"aa639362-f27d-4dcb-9bc7-e5c48f6f4acf","B2","Christiana Healthcare","Kidney renal clear cell carcinoma","IGC"
"560f4163-7bf4-45cc-9837-e36b90a1080e","B3","Christiana Healthcare","Kidney renal papillary cell carcinoma","IGC"
"389e6ed6-31c9-454e-97cb-fedbed773244","B4","Cureline","Kidney renal clear cell carcinoma","IGC"
"d4df90d6-8dcf-4258-b711-e8a19c8547d4","B5","Duke","Uterine Corpus Endometrial Carcinoma","NCH"
"f1b79c77-33ed-4aed-bf78-4ef33478b606","B6","Duke","Breast invasive carcinoma","NCH"
"8935a138-4d9a-4623-ab36-04b254c41f87","B7","Cureline","Stomach adenocarcinoma","IGC"
"ef124299-3f08-4880-8413-3eee119d601c","B8","UNC","Kidney renal clear cell carcinoma","IGC"
"fc3b9288-c78d-45e1-978e-da5e102dd443","B9","UNC","Kidney renal papillary cell carcinoma","IGC"
"164f739d-181c-46cb-8f8f-82e5e2921c76","BA","UNC","Head and Neck squamous cell carcinoma","IGC"
"57e54bdc-eeb2-42fb-8cc0-776cab4863f9","BB","Johns Hopkins","Head and Neck squamous cell carcinoma","IGC"
"e77c1859-344a-4b7f-b7c3-cb5d302cb3cf","BC","UNC","Liver hepatocellular carcinoma","NCH"
"fbb59929-599e-4c22-8bbe-1dc248fdf0f4","BD","University of Pittsburgh","Liver hepatocellular carcinoma","NCH"
"f3346999-5f4c-4cde-858c-a05d6c391f12","BE","Curleline","Head and Neck squamous cell carcinoma","IGC"
"073a064f-225b-4a38-82c5-d017589ac7a0","BF","Cureline","Skin Cutaneous Melanoma","NCH"
"85065b07-4212-4eb7-afcb-e07453beddfc","BG","University of Pittsburgh","Uterine Corpus Endometrial Carcinoma","NCH"
"da6dccc0-48c9-4373-80e6-553970bdea8d","BH","University of Pittsburgh","Breast invasive carcinoma","NCH"
"5d76453f-f3ef-482c-96b8-89997bba58a9","BI","University of Pittsburgh","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"8126236b-7a9a-4301-8511-c5ce638f217b","BJ","University of Pittsburgh","Thyroid carcinoma","IGC"
"a2935ee7-19f3-444a-85ad-4cb6eb163dd4","BK","Christiana Healthcare","Uterine Corpus Endometrial Carcinoma","NCH"
"62a7d96b-9850-4f5b-9832-3328c4eb5732","BL","Christiana Healthcare","Bladder Urothelial Carcinoma","NCH"
"8a4d1b81-c7dd-44e2-a4a7-e206611214aa","BM","UNC","Rectum adenocarcinoma","IGC"
"37680d31-d54c-432a-add6-e60689568a7c","BP","MSKCC","Kidney renal clear cell carcinoma","IGC"
"06047ead-11f8-4f7e-9977-a3ec2bed130e","BQ","MSKCC","Kidney renal papillary cell carcinoma","IGC"
"32caaae0-20fa-48b2-a3ec-5e16a81220e6","BR","Asterand","Stomach adenocarcinoma","IGC"
"c30dc1ec-a72e-4573-9251-f84a0a2c344c","BS","University of Hawaii","Uterine Corpus Endometrial Carcinoma","NCH"
"9569bbc9-47b9-4369-9574-436903a6961c","BT","University of Pittsburgh","Bladder Urothelial Carcinoma","NCH"
"75cc13a6-48d1-4973-b8da-a78a4c0c4bfd","BV","St. Joseph's Medical Center-(MD)","Brain Lower Grade Glioma","IGC"
"dba9d0e6-6a2e-4238-8253-b6da54df1212","BW","St. Joseph's Medical Center-(MD)","Liver hepatocellular carcinoma","NCH"
"eb4e28b2-b300-4248-818f-d9721ea433be","BX","St. Joseph's Medical Center-(MD)","Stomach adenocarcinoma","IGC"
"e3750b73-0358-4e56-b90b-492dcdfb29ac","BY","St. Joseph's Medical Center-(MD)","Head and Neck squamous cell carcinoma","IGC"
"73a32915-9331-4ae7-a6d5-24af30edd413","BZ","St. Joseph's Medical Center-(MD)","Thyroid carcinoma","IGC"
"ff353a44-4293-4dd4-b9bb-7f6adaae1495","C2","St. Joseph's Medical Center-(MD)","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"7c81bd05-05b8-4203-810e-e6acf5dbf24c","C3","St. Joseph's Medical Center-(MD)","Prostate adenocarcinoma","IGC"
"d306e2bb-b717-4f42-b955-1e26f349399b","C4","Indivumed","Bladder Urothelial Carcinoma","NCH"
"1858fb90-0aee-4051-a418-03a14e1c650d","C5","Medical College of Wisconsin","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"f40e9b6b-63dd-46b9-bfc3-c8f80c793345","C7","University of Utah","Breast invasive carcinoma","NCH"
"1256229c-103d-4d82-af59-f5be9dec2dd7","C8","ILSBio","Breast invasive carcinoma","NCH"
"2540af68-0ff3-4e15-91b0-8a53e7e68a69","C9","ILSBio","Head and Neck squamous cell carcinoma","NCH"
"465c4a41-c26d-466f-b2a3-7d07205db165","CA","ILSBio","Colon adenocarcinoma","IGC"
"635f2f00-d219-4b63-b806-c2ce123a67e3","CB","ILSBio","Kidney renal clear cell carcinoma","IGC"
"cc209520-3b13-40f6-bf93-ffc2e6e856db","CC","ILSBio","Liver hepatocellular carcinoma","NCH"
"a6b84fe9-e34f-4020-8746-f0b3bab90b34","CD","ILSBio","Stomach adenocarcinoma","IGC"
"9c680e06-4945-41b9-b1cc-aa28b576b502","CE","ILSBio","Thyroid carcinoma","IGC"
"2cbe2011-5924-4249-ba01-e879be66a913","CF","ILSBio","Bladder Urothelial Carcinoma","NCH"
"cffc4757-83dd-4ac9-b746-37f7e27ca90a","CG","Indivumed","Stomach adenocarcinoma","IGC"
"c3b02c42-42f7-4c0c-bb86-7e878e4bfcf1","CH","Indivumed","Prostate adenocarcinoma","IGC"
"07040f1a-43f6-4f70-a711-e68dccbe93f4","CI","University of Pittsburgh","Rectum adenocarcinoma","IGC"
"417c3fdc-90fd-4e29-b5fc-c321d02b70d2","CJ","MD Anderson Cancer Center","Kidney renal clear cell carcinoma","IGC"
"dd7a71e0-ed85-43df-b296-97302257d114","CK","Harvard","Colon adenocarcinoma","IGC"
"a58d28cc-1be5-4e5a-9bff-896df98c2e07","CL","Harvard","Rectum adenocarcinoma","IGC"
"a8a30840-55d2-429d-a454-db2737051c06","CM","MSKCC","Colon adenocarcinoma","IGC"
"dcf5e6c5-95ae-4395-a83a-49d1e9e268be","CN","University of Pittsburgh","Head and Neck squamous cell carcinoma","IGC"
"2eae49ef-bf51-4267-9840-a8aebe7536e7","CP","Swedish Neurosciences","Brain Lower Grade Glioma","IGC"
"7521bafa-01a3-4d0b-8f94-8d0838033d6e","CQ","University Health Network, Toronto","Head and Neck squamous cell carcinoma","IGC"
"cceb96a5-1ef8-40f9-8f58-3cf07fc39a10","CR","Vanderbilt University","Head and Neck squamous cell carcinoma","IGC"
"de54b829-6ac8-45de-98eb-b20d00ceeae7","CS","Thomas Jefferson University","Brain Lower Grade Glioma","IGC"
"a2e744aa-3a46-4962-b840-a110304b9bce","CU","UNC","Bladder Urothelial Carcinoma","NCH"
"9d6aceb3-a587-4010-b60f-13712897040f","CV","MD Anderson Cancer Center","Head and Neck squamous cell carcinoma","IGC"
"f7d7a5ef-c50a-4784-ba9d-a92005d422ac","CW","Mayo Clinic - Rochester","Kidney renal clear cell carcinoma","IGC"
"9f0d3544-5a2a-4b7d-a78d-248b40ec5b16","CX","Medical College of Georgia","Head and Neck squamous cell carcinoma","IGC"
"0ec19c33-2daf-42bf-a136-4d1af53fda61","CY","Ontario Institute for Cancer Research (OICR)","Colon adenocarcinoma","IGC"
"b8e9ac0d-95a2-4f56-a2bc-31d9814e62e1","CZ","Harvard","Kidney renal clear cell carcinoma","IGC"
"cf8bda82-7c50-4125-9477-97e0148a9192","D1","Mayo Clinic","Uterine Corpus Endometrial Carcinoma","NCH"
"625c5b86-5349-424f-9a73-64d6d9703c74","D3","MD Anderson","Skin Cutaneous Melanoma","NCH"
"c19a25ea-7db8-48b9-bee9-913730b1ee64","D5","Greater Poland Cancer Center","Colon adenocarcinoma","IGC"
"c64a74c0-3c9d-483a-a9f5-f22e17b855a2","D6","Greater Poland Cancer Center","Head and Neck squamous cell carcinoma","IGC"
"731490d4-fc2f-449b-97c9-312a67876646","D7","Greater Poland Cancer Center","Stomach adenocarcinoma","IGC"
"03982959-cade-4f30-ac21-bd2319a6cd8d","D8","Greater Poland Cancer Center","Breast invasive carcinoma","NCH"
"99c80047-7f9e-4e7b-899c-1ecab50249cc","D9","Greater Poland Cancer Center","Skin Cutaneous Melanoma","NCH"
"1bc50b56-4fb0-4c67-a1df-3ac799fee42b","DA","Yale","Skin Cutaneous Melanoma","NCH"
"dfcdc0da-3efa-45ed-9670-79a92a11612c","DB","Mayo Clinic - Rochester","Brain Lower Grade Glioma","IGC"
"f70462f3-cbf8-47a4-8084-e36ea7982955","DC","MSKCC","Rectum adenocarcinoma","IGC"
"b19f8b13-cf0f-4cbd-a098-ef1d82812eae","DD","Mayo Clinic - Rochester","Liver hepatocellular carcinoma","NCH"
"c4ffb53d-b69b-43b9-a40d-22a6f46a56c3","DE","University of North Carolina","Thyroid carcinoma","NCH"
"4d4670cb-116a-49d5-8c87-e58c258b96d3","DF","Ontario Institute for Cancer Research","Uterine Corpus Endometrial Carcinoma","NCH"
"da86de4b-856c-479e-8572-46bf8bf8d6dc","DG","Ontario Institute for Cancer Research","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"d18bb46c-e294-4f83-8118-9560cc667c2e","DH","University of Florida","Brain Lower Grade Glioma","IGC"
"43aea35e-f7c4-4e3c-b41d-61566c24a419","DI","MD Anderson","Uterine Corpus Endometrial Carcinoma","NCH"
"c5a3b548-a823-40b6-b335-de0a7c3750f7","DJ","Memorial Sloan Kettering","Thyroid carcinoma","NCH"
"eb35e564-bb48-46d0-bfdc-6e31fe58347a","DK","Memorial Sloan Kettering","Bladder Urothelial Carcinoma","NCH"
"e6a483aa-6bdb-45f0-bb84-22c2077d6b65","DM","University Of Michigan","Colon adenocarcinoma","NCH"
"8a57d14c-af5d-47b2-919d-cc973a991342","DN","Washington University","Acute Myeloid Leukemia","NCH"
"a0e32813-653f-45e7-8310-e50c885723ba","DO","Medical College of Georgia","Thyroid carcinoma","NCH"
"b0fbaf39-6c87-4b7f-86e7-d5789b7ae2fe","DQ","University Of Michigan","Head and Neck squamous cell carcinoma","IGC"
"34be0e05-633a-451a-8b6a-59368b8968f9","DR","University of Hawaii","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"fed37374-fa12-490b-8b23-1fb90a3b3c5f","DS","Cedars Sinai","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"02ce8598-17d1-474e-99d3-768f4da633cb","DT","ILSBio","Rectum adenocarcinoma","IGC"
"d9bd81a9-cfbd-4bd1-b411-2e352b012dc5","DU","Henry Ford Hospital","Brain Lower Grade Glioma","IGC"
"9bc54447-cb45-4d25-a6e0-64868abbf478","DV","NCI Urologic Oncology Branch","Kidney renal clear cell carcinoma","IGC"
"c77e1e0d-be63-4734-9d18-fd9e867dfd5b","DW","NCI Urologic Oncology Branch","Kidney renal papillary cell carcinoma","IGC"
"724b1d60-67e8-4df0-9e09-57091ff641cd","DX","Memorial Sloan Kettering","Sarcoma","NCH"
"da39e8ad-bd4d-4e29-bb38-dc5e5d9d4535","DY","University Of Michigan","Rectum adenocarcinoma","NCH"
"15e98a44-ebc5-4d52-b871-3e1425b5a63a","DZ","Mayo Clinic - Rochester","Kidney renal papillary cell carcinoma","IGC"
"e16c659e-09d1-4b2b-b3a8-47932b6e7f9a","E1","Duke","Brain Lower Grade Glioma","IGC"
"bdcb6c16-7b0d-4d5d-b548-b28271a9ebf2","E2","Roswell Park","Breast invasive carcinoma","NCH"
"d3e9c30f-60fd-4e2a-9f47-70a2d2322857","E3","Roswell Park","Thyroid carcinoma","NCH"
"e2dd80b4-b686-4bd6-963a-5b79db6673b4","E5","Roswell Park","Bladder Urothelial Carcinoma","NCH"
"8f2511ee-c687-4092-8f26-57c040367e76","E6","Roswell Park","Uterine Corpus Endometrial Carcinoma","NCH"
"c3ce797f-d544-4177-92ea-49aa32984048","E7","Asterand","Bladder Urothelial Carcinoma","NCH"
"940827d4-3c38-4ab5-b234-ad6e34ae23f2","E8","Asterand","Thyroid carcinoma","NCH"
"9346b124-9c31-46b6-922d-6b802d9ba1a8","E9","Asterand","Breast invasive carcinoma","NCH"
"927d86d7-ceed-4a42-8e70-c1de9f207e06","EA","Asterand","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"279d8d72-3fd8-4cd8-b1c5-b1c60b3f925a","EB","Asterand","Skin Cutaneous Melanoma","NCH"
"65fe0a75-3fb5-43c6-baa3-3ad5b8daaaea","EC","Asterand","Uterine Corpus Endometrial Carcinoma","NCH"
"61e0c1d9-9d6f-4450-959c-38d68c323229","ED","Asterand","Liver hepatocellular carcinoma","NCH"
"0a1f2d85-d115-453e-a535-5c4a39a2ff2f","EE","University of Sydney","Skin Cutaneous Melanoma","NCH"
"feb2413a-5d98-4903-b343-6e6ea1a19b32","EF","Cureline","Rectum adenocarcinoma","IGC"
"166e81db-3f15-47e6-afc3-db347ea7d44e","EG","St. Joseph's Medical Center-(MD)","Rectum adenocarcinoma","IGC"
"d456b005-d9f5-481c-a001-080f8865aeb8","EH","Ontario Institute for Cancer Research (OICR)","Rectum adenocarcinoma","IGC"
"04654563-eae5-4834-a595-ca2f0840e78f","EI","Greater Poland Cancer Center","Rectum adenocarcinoma","IGC"
"980a8fdd-dfbf-44c6-875d-804e27579618","EJ","University of Pittsburgh","Prostate adenocarcinoma","IGC"
"60542716-51c4-4f2b-ae1c-0018950aff5e","EK","Gynecologic Oncology Group","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"9791ef52-5548-4fe1-9bc3-25d4211108bc","EL","MD Anderson","Thyroid carcinoma","NCH"
"91ad29f3-285e-43c1-8c59-81e0a7a7b7bd","EM","University Health Network","Thyroid carcinoma","NCH"
"fb886914-3521-4cde-83ee-43a51b7abf08","EN","University Health Network","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"abf601b8-fbb8-44a1-a9a1-0286cb5e5fde","EO","University Health Network","Uterine Corpus Endometrial Carcinoma","NCH"
"c8dab2f4-3377-4b1a-b8bd-b7cdf684a4ce","EP","Christiana Healthcare","Liver hepatocellular carcinoma","NCH"
"e315d5f4-28ae-43b5-afcd-9fc681123f74","EQ","Christiana Healthcare","Stomach adenocarcinoma","IGC"
"d14a1d49-3825-42c4-9133-108e6cdd561d","ER","University of Pittsburgh","Skin Cutaneous Melanoma","NCH"
"323435f3-b55b-4ce3-8d24-6469c6e2e5a7","ES","University of Florida","Liver hepatocellular carcinoma","NCH"
"1763457b-6cfa-419e-95dc-807d74fb7f2a","ET","Johns Hopkins","Thyroid carcinoma","NCH"
"2bb9c568-b2b4-4435-8674-06d1cccf87d4","EU","CHI-Penrose Colorado","Kidney renal clear cell carcinoma","IGC"
"3ce1753f-ff7e-4aab-84a5-42ddd98f534e","EV","CHI-Penrose Colorado","Kidney renal papillary cell carcinoma","IGC"
"4b4c6ef4-1f55-446b-97b0-f093d25b25b3","EW","University of Miami","Breast invasive carcinoma","NCH"
"10fe3122-e51f-4084-bce0-732bd559a990","EX","University of North Carolina","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"2a5fb6dc-5cdb-4526-aca4-9005a52ef226","EY","University of North Carolina","Uterine Corpus Endometrial Carcinoma","NCH"
"32b684ad-2ec4-4ee8-9ee2-ccd81165e6cb","EZ","UNC","Brain Lower Grade Glioma","IGC"
"81ffb31e-4f7a-4b61-984d-febf15a60dc2","F1","UNC","Stomach adenocarcinoma","IGC"
"5ae564e5-70de-4347-988c-7d8db72fb0d7","F2","UNC","Pancreatic adenocarcinoma","IGC"
"190d0413-e0fb-4272-94ee-6bb0b8c30ef7","F4","Asterand","Colon adenocarcinoma","IGC"
"8d5667b5-9b6a-4a40-acf8-895648a6960b","F5","Asterand","Rectum adenocarcinoma","IGC"
"0caf6bb2-d15d-4dec-9a5d-a7d27643492d","F6","Asterand","Brain Lower Grade Glioma","IGC"
"4cebf4fc-db25-4740-8a35-8af47454250f","F7","Asterand","Head and Neck squamous cell carcinoma","IGC"
"4b5f5e98-071f-4d4a-a7fe-bdf74fce27d8","F8","Asterand","Kidney renal clear cell carcinoma","IGC"
"dcca11fd-58be-47e1-bf12-078e36c48e3b","F9","Asterand","Kidney renal papillary cell carcinoma","IGC"
"c0e46d07-70d7-4074-894e-2c209e4eab05","FA","Asterand","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"f537bca4-e007-46d2-b91f-46dc59786a51","FB","Asterand","Pancreatic adenocarcinoma","IGC"
"eb5cef4d-9c5e-464a-8b8f-937ebb32c4b5","FC","Asterand","Prostate adenocarcinoma","IGC"
"dab95d83-2480-4f23-b693-23aefb589bbc","FD","BLN - University Of Chicago","Bladder Urothelial Carcinoma","NCH"
"2341b8b5-c688-4d8b-a44a-22a501a2d42d","FE","Ohio State University","Thyroid carcinoma","NCH"
"f1e3e886-d46e-4ed5-a6d1-4298c59e144f","FF","SingHealth","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"eea6e17d-0d6c-451e-a263-425ce80a93c0","FG","Case Western","Brain Lower Grade Glioma","IGC"
"0cc3fd5e-84d9-4821-97a4-b95cd47d5f72","FH","CHI-Penrose Colorado","Thyroid carcinoma","NCH"
"05243bef-036b-4d8b-8a0d-754b86c0de94","FI","Washington University","Uterine Corpus Endometrial Carcinoma","NCH"
"d1b9d6bb-eadc-460b-b9e1-64124ed9fbb9","FJ","BLN - Baylor","Bladder Urothelial Carcinoma","NCH"
"44abc79d-76ce-4533-84d9-0faca0e4ee81","FK","Johns Hopkins","Thyroid carcinoma","NCH"
"19ca2151-5d8c-4236-92d1-7e41150703fd","FL","University of Hawaii - Normal Study","Uterine Corpus Endometrial Carcinoma","NCH"
"8d4d5c32-efd3-4303-abde-e0530f511775","FM","International Genomics Consortium","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"515b4be8-0a8e-4de4-9122-360d263023cb","FN","International Genomics Consortium","Brain Lower Grade Glioma","IGC"
"31768e9e-ac73-4bd4-9e64-ba7031697065","FP","International Genomics Consortium","Stomach adenocarcinoma","IGC"
"60251bf4-835f-4ec9-acd6-a795df804f5d","FQ","Johns Hopkins","Pancreatic adenocarcinoma","IGC"
"c02fe5d1-0aef-4755-a243-7f55a88a9d4f","FR","University of North Carolina","Skin Cutaneous Melanoma","NCH"
"045b3094-106e-4b4a-a948-cc466ac62daf","FS","Essen","Skin Cutaneous Melanoma","NCH"
"a4b441cc-7115-4b6f-9d63-e7b3a2b49cb5","FT","BLN - University of Miami","Bladder Urothelial Carcinoma","NCH"
"b2cbe5bc-ddca-4c2a-aaaf-26524a0d0d81","FU","International Genomics Consortium","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"e50ef859-e7af-487e-9bbc-11df638e044b","FV","International Genomics Consortium","Liver hepatocellular carcinoma","NCH"
"c4b909de-8285-47e8-b685-11861ebda9b0","FW","International Genomics Consortium","Skin Cutaneous Melanoma","NCH"
"1aafec9c-1f2f-43c6-93cb-722c2a35dfd5","FX","International Genomics Consortium","Sarcoma","NCH"
"a446d485-2645-4d66-ac07-049de2d4e3f1","FY","International Genomics Consortium","Thyroid carcinoma","NCH"
"42c46a49-9118-41ed-82a2-74e182202db4","FZ","University of Pittsburgh","Pancreatic adenocarcinoma","IGC"
"a96b3589-7009-4d04-9431-ec21d79f95c7","G1","Asterand","Acute Myeloid Leukemia","NCH"
"677eefd0-9d73-4bff-82e8-26d264304b1b","G2","MD Anderson","Bladder Urothelial Carcinoma","NCH"
"e01c3a83-9aee-4e93-8528-c206bfa2885d","G3","Alberta Health Services","Liver hepatocellular carcinoma","NCH"
"b834988e-9a5c-48c7-938b-e7303f555672","G4","Roswell Park","Colon adenocarcinoma","IGC"
"ba9b55b2-f5c0-4b45-ad0b-3beca31932bb","G5","Roswell Park","Rectum adenocarcinoma","IGC"
"f64e400a-13d1-454b-9366-0a6b9da4bdb3","G6","Roswell Park","Kidney renal clear cell carcinoma","IGC"
"15758910-db69-44f7-bbb9-2c64ff236c0a","G7","Roswell Park","Kidney renal papillary cell carcinoma","IGC"
"5dc61d3a-157f-4223-b4ae-7dac8c1d472d","G8","Roswell Park","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"c80a3275-4221-40f7-b31b-b1828cebe0fa","G9","Roswell Park","Prostate adenocarcinoma","IGC"
"56cf22f8-9d00-46cb-bdaa-d2fb286fe9f0","GC","International Genomics Consortium","Bladder Urothelial Carcinoma","NCH"
"7179852e-a426-413f-8f7b-d61dce0d6e96","GD","ABS - IUPUI","Bladder Urothelial Carcinoma","NCH"
"be096549-4009-41d3-ac67-b87d385ab5a5","GE","ABS - IUPUI","Thyroid carcinoma","NCH"
"fa083b30-b31c-4c92-bd67-cd41e3f6dfa1","GF","ABS - IUPUI","Skin Cutaneous Melanoma","NCH"
"05b95d31-b8ae-4a32-90e8-2c714716803e","GG","ABS - IUPUI","Uterine Corpus Endometrial Carcinoma","NCH"
"e55e2078-7b58-4108-91a1-f1294bd6f5be","GH","ABS - IUPUI","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"9df0fb9a-20e7-4461-9ebb-f8f2fd006d16","GI","ABS - IUPUI","Breast invasive carcinoma","NCH"
"7e848ec9-b218-4537-ac78-132971b50911","GJ","ABS - IUPUI","Liver hepatocellular carcinoma","NCH"
"161722d6-8f06-49c1-86c0-68b43ff9c844","GK","ABS - IUPUI","Kidney renal clear cell carcinoma","IGC"
"32320147-5f2f-4b17-b38a-a9a9073b420b","GL","ABS - IUPUI","Kidney renal papillary cell carcinoma","IGC"
"7ecd61ed-96c2-41e8-8ee4-3315de118061","GM","MD Anderson","Breast invasive carcinoma","NCH"
"917ca04e-551b-4ccb-ba6d-29078ec0a9e1","GN","Roswell","Skin Cutaneous Melanoma","NCH"
"f63afff2-d8cb-4b34-84c7-e6731818dadb","GP","MD Anderson","Acute Myeloid Leukemia","NCH"
"b7b52a4c-a9f3-4e6c-a488-b79ce848ebbe","GR","University of Nebraska Medical Center (UNMC)","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"f68f5621-ad60-418d-b677-d90ef4456392","GS","Fundacio Clinic per a la Recerca Biomedica","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"6960caa1-8eb4-4c14-9884-4ff62a8487cb","GT","ABS - Blokhin","Colon adenocarcinoma","IGC"
"3005624a-6fab-4cfe-b89d-c8fcdb192a57","GU","BLN - UT Southwestern Medical Center at Dallas","Bladder Urothelial Carcinoma","NCH"
"65f11ccf-6329-4498-9724-3221c948cf5f","GV","BLN - Cleveland Clinic","Bladder Urothelial Carcinoma","NCH"
"748484a6-a53c-4ad7-b8a0-c50df67ef76c","GW","ABS - Blokhin","Stomach adenocarcinoma","IGC"
"7a9892c6-7626-4321-b7e6-5a3c5624d9eb","GX","ABS - Blokhin","Prostate adenocarcinoma","IGC"
"35833fbd-0222-4c08-b86c-e165ab27401b","GY","ABS - Blokhin","Kidney renal papillary cell carcinoma","IGC"
"da5ab9ef-5adf-4cbf-b13a-678b99e2f02c","GZ","BC Cancer Agency","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"2ff8ef94-f7fc-447f-a93f-ab0fa300be5a","H1","Medical College of Georgia","Stomach adenocarcinoma","IGC"
"07153098-6613-45a7-a203-01d4e74f32ae","H2","Christiana Healthcare","Thyroid carcinoma","NCH"
"c6b43bcb-5549-4874-9e2b-e29347d961a4","H3","ABS - IUPUI","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","IGC"
"f2f0016a-2917-4ea9-817f-37c6ecad7684","H4","Medical College of Georgia","Bladder Urothelial Carcinoma","NCH"
"3af9385b-ce6c-4757-9997-160a5bbac9b1","H5","Medical College of Georgia","Uterine Corpus Endometrial Carcinoma","NCH"
"b9818964-e038-4ee0-97d7-77409df2ab1a","H6","Christiana Healthcare","Pancreatic adenocarcinoma","IGC"
"44a1624d-81f0-4217-91fb-9d5c68a53def","H7","ABS - IUPUI","Head and Neck squamous cell carcinoma","IGC"
"ce293b4a-517b-454c-a2cf-c50fc69e86f4","H8","ABS - IUPUI","Pancreatic adenocarcinoma","IGC"
"a4445ede-99be-4e07-a366-721c4f1e7068","H9","ABS - IUPUI","Prostate adenocarcinoma","IGC"
"a35c8b96-aad1-4be4-950e-f50108a62e30","HA","Alberta Health Services","Stomach adenocarcinoma","IGC"
"71de491e-27e0-4a43-bed5-3da9f367b86d","HB","University of North Carolina","Sarcoma","NCH"
"fa0ffa89-a1d1-4026-85fe-35a98f40b723","HC","International Genomics Consortium","Prostate adenocarcinoma","IGC"
"5424b01e-ed11-4482-b0f7-29432d4cb6b2","HD","International Genomics Consortium","Head and Neck squamous cell carcinoma","IGC"
"5c34220d-f3f7-4ec9-a6be-cf72ee9820e2","HE","Ontario Institute for Cancer Research (OICR)","Kidney renal papillary cell carcinoma","IGC"
"df986468-4580-4222-a5ea-198a5cd381e1","HF","Ontario Institute for Cancer Research (OICR)","Stomach adenocarcinoma","IGC"
"c4316f0b-8592-4282-bfbd-620dd41bc1aa","HG","Roswell Park","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"2b7a1bef-0d9a-476d-9ee0-19dc7d7f1c90","HH","Fox Chase","Stomach adenocarcinoma","IGC"
"a5acb79b-491f-4558-8a5b-1e5e10e7219b","HI","Fox Chase","Prostate adenocarcinoma","IGC"
"940ae03b-61ed-4d54-a558-95e4645c64c9","HJ","Fox Chase","Stomach adenocarcinoma","IGC"
"80fff8bd-039b-4ff3-99c6-0d1ed8662d87","HK","Fox Chase","Brain Lower Grade Glioma","IGC"
"fbfe0c99-5f2c-4967-980b-ed680de3ec30","HL","Fox Chase","Head and Neck squamous cell carcinoma","IGC"
"ce422d29-3784-401f-b959-efa4df9161f8","HM","Christiana Healthcare","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"751921a5-8a5f-45c3-b052-de6d861a0d20","HN","Ontario Institute for Cancer Research (OICR)","Breast invasive carcinoma","NCH"
"b58ab7da-d90f-462f-ba52-ab2626c5194a","HP","Ontario Institute for Cancer Research (OICR)","Liver hepatocellular carcinoma","NCH"
"10e94877-1694-40d3-a359-127cee1e0f58","HQ","Ontario Institute for Cancer Research (OICR)","Bladder Urothelial Carcinoma","NCH"
